frame,crowd_count,density_pct,avg_speed,direction_variance,label
5,12,18.41,0.0,0.0,0
10,8,12.12,5.7984,0.1418,0
15,10,15.42,5.7206,0.1584,0
20,12,15.4,5.4968,0.1826,0
25,11,13.44,5.5203,0.2038,0
30,5,8.88,5.7539,0.2014,0
35,13,14.76,6.0286,0.1878,0
40,13,17.1,5.6414,0.1951,0
45,11,14.66,5.3752,0.1983,0
50,16,22.48,5.3046,0.1904,0
55,14,18.14,5.489,0.2088,0
60,11,16.63,5.7453,0.2023,0
65,3,6.55,5.6766,0.2286,0
70,14,23.44,5.5458,0.2267,0
75,5,9.44,5.6507,0.2059,0
80,7,11.28,5.6552,0.2151,0
85,9,15.01,5.7747,0.1991,0
90,8,13.55,5.8947,0.2015,0
95,13,17.68,5.6315,0.1901,0
100,8,10.95,6.1269,0.1918,0
105,14,21.77,5.9058,0.1867,0
110,9,14.01,6.0352,0.1639,0
115,9,12.52,6.3391,0.1777,0
120,14,22.71,5.8297,0.1874,0
125,12,19.34,5.8298,0.1706,0
130,10,16.79,5.9515,0.1706,0
135,16,29.54,5.8151,0.1611,0
140,9,13.49,6.6372,0.1572,0
145,12,19.0,5.9491,0.1431,0
150,9,16.07,6.0977,0.1742,0
155,8,12.42,5.7144,0.1729,0
160,11,18.36,6.0631,0.1834,0
165,10,17.01,5.9993,0.1437,0
170,6,11.65,6.5097,0.1729,0
175,5,9.62,6.2752,0.1605,0
180,9,16.43,6.2659,0.1445,0
185,8,15.75,6.0917,0.1607,0
190,7,13.95,6.8647,0.1319,0
195,8,13.21,6.6206,0.1639,0
200,7,12.95,6.5738,0.2396,0
205,8,15.62,5.8804,0.17,0
210,12,20.1,6.0515,0.2208,0
215,7,12.71,6.2454,0.1763,0
220,10,14.47,6.3632,0.1513,0
225,12,12.92,7.6716,0.1154,0
230,4,6.49,7.4357,0.1109,0
235,2,1.98,7.6691,0.0983,0
240,5,5.9,8.1934,0.1091,0
245,3,3.86,7.5713,0.1108,0
250,5,5.85,7.07,0.1213,0
255,8,16.1,6.8543,0.1268,0
260,9,13.3,6.8113,0.1293,0
265,5,11.35,6.7626,0.1254,0
270,5,6.42,6.747,0.1338,0
275,4,5.68,6.9268,0.1338,0
280,7,17.58,7.0427,0.1179,0
285,6,10.77,7.0654,0.1096,0
290,2,2.1,6.5901,0.1391,0
295,3,9.91,7.1174,0.1404,0
300,7,16.66,6.4804,0.1267,0
305,6,10.73,5.1256,0.2142,0
310,10,16.26,4.7441,0.2453,0
315,11,18.43,4.6083,0.2808,0
320,11,16.32,5.6332,0.251,0
325,12,17.78,7.0984,0.1331,0
